run_idx,mode,agent,network,world,train_pr,infer_pr,checkpoint_episode,selection_metric,selection_value,repeat_idx,seed,train_prefix,infer_prefix,output_dir,status,exit_code,travel_time,loss,reward,queue,delay,throughput
1,matched,mplight,sumohz4x4,sumo,0.05,0.05,45,travel_time,375.5,1,,omnet_off__pr_0.05,inference_matched__pr_0.05__ckpt_45__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.05__ckpt_45__rep_01,success,0,375.5,0.0,-1.89,1.58,0.13,2712.0
2,matched,mplight,sumohz4x4,sumo,0.05,0.05,40,travel_time,376.0,2,,omnet_off__pr_0.05,inference_matched__pr_0.05__ckpt_40__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.05__ckpt_40__rep_02,success,0,376.0,0.0,-1.86,1.55,0.12,2706.0
3,matched,mplight,sumohz4x4,sumo,0.05,0.05,35,travel_time,377.0,3,,omnet_off__pr_0.05,inference_matched__pr_0.05__ckpt_35__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.05__ckpt_35__rep_03,success,0,377.0,0.0,-1.86,1.54,0.13,2710.0
4,matched,mplight,sumohz4x4,sumo,0.075,0.075,5,travel_time,371.6,1,,omnet_off__pr_0.07,inference_matched__pr_0.07__ckpt_05__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.07__ckpt_05__rep_01,success,0,371.6,0.0,-1.83,1.53,0.12,2704.0
5,matched,mplight,sumohz4x4,sumo,0.075,0.075,40,travel_time,374.9,2,,omnet_off__pr_0.07,inference_matched__pr_0.07__ckpt_40__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.07__ckpt_40__rep_02,success,0,374.9,0.0,-1.82,1.49,0.12,2704.0
6,matched,mplight,sumohz4x4,sumo,0.075,0.075,15,travel_time,375.0,3,,omnet_off__pr_0.07,inference_matched__pr_0.07__ckpt_15__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.07__ckpt_15__rep_03,success,0,375.0,0.0,-1.88,1.57,0.13,2707.0
7,matched,mplight,sumohz4x4,sumo,0.1,0.1,40,travel_time,374.9,1,,omnet_off__pr_0.10,inference_matched__pr_0.10__ckpt_40__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.10__ckpt_40__rep_01,success,0,374.9,0.0,-1.89,1.56,0.13,2694.0
8,matched,mplight,sumohz4x4,sumo,0.1,0.1,15,travel_time,375.0,2,,omnet_off__pr_0.10,inference_matched__pr_0.10__ckpt_15__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.10__ckpt_15__rep_02,success,0,375.0,0.0,-1.85,1.54,0.13,2704.0
9,matched,mplight,sumohz4x4,sumo,0.1,0.1,35,travel_time,375.3,3,,omnet_off__pr_0.10,inference_matched__pr_0.10__ckpt_35__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.10__ckpt_35__rep_03,success,0,375.3,0.0,-1.8,1.48,0.12,2701.0
10,matched,mplight,sumohz4x4,sumo,0.125,0.125,10,travel_time,372.2,1,,omnet_off__pr_0.12,inference_matched__pr_0.12__ckpt_10__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.12__ckpt_10__rep_01,success,0,372.2,0.0,-1.85,1.55,0.13,2714.0
11,matched,mplight,sumohz4x4,sumo,0.125,0.125,40,travel_time,373.8,2,,omnet_off__pr_0.12,inference_matched__pr_0.12__ckpt_40__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.12__ckpt_40__rep_02,success,0,373.8,0.0,-1.79,1.48,0.12,2714.0
12,matched,mplight,sumohz4x4,sumo,0.125,0.125,35,travel_time,374.9,3,,omnet_off__pr_0.12,inference_matched__pr_0.12__ckpt_35__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.12__ckpt_35__rep_03,success,0,374.9,0.0,-1.84,1.51,0.12,2703.0
13,matched,mplight,sumohz4x4,sumo,0.15,0.15,15,travel_time,370.8,1,,omnet_off__pr_0.15,inference_matched__pr_0.15__ckpt_15__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.15__ckpt_15__rep_01,success,0,370.8,0.0,-1.79,1.51,0.12,2716.0
14,matched,mplight,sumohz4x4,sumo,0.15,0.15,20,travel_time,372.9,2,,omnet_off__pr_0.15,inference_matched__pr_0.15__ckpt_20__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.15__ckpt_20__rep_02,success,0,372.9,0.0,-1.85,1.53,0.12,2714.0
15,matched,mplight,sumohz4x4,sumo,0.15,0.15,40,travel_time,373.7,3,,omnet_off__pr_0.15,inference_matched__pr_0.15__ckpt_40__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.15__ckpt_40__rep_03,success,0,373.7,0.0,-1.84,1.52,0.12,2710.0
16,matched,mplight,sumohz4x4,sumo,0.175,0.175,20,travel_time,372.0,1,,omnet_off__pr_0.17,inference_matched__pr_0.17__ckpt_20__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.17__ckpt_20__rep_01,success,0,372.0,0.0,-1.82,1.52,0.12,2709.0
17,matched,mplight,sumohz4x4,sumo,0.175,0.175,15,travel_time,372.1,2,,omnet_off__pr_0.17,inference_matched__pr_0.17__ckpt_15__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.17__ckpt_15__rep_02,success,0,372.1,0.0,-1.84,1.53,0.12,2700.0
18,matched,mplight,sumohz4x4,sumo,0.175,0.175,30,travel_time,373.6,3,,omnet_off__pr_0.17,inference_matched__pr_0.17__ckpt_30__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.17__ckpt_30__rep_03,success,0,373.6,0.0,-1.82,1.5,0.12,2704.0
19,matched,mplight,sumohz4x4,sumo,0.2,0.2,30,travel_time,371.6,1,,omnet_off__pr_0.20,inference_matched__pr_0.20__ckpt_30__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.20__ckpt_30__rep_01,success,0,371.6,0.0,-1.85,1.55,0.12,2706.0
20,matched,mplight,sumohz4x4,sumo,0.2,0.2,35,travel_time,373.1,2,,omnet_off__pr_0.20,inference_matched__pr_0.20__ckpt_35__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.20__ckpt_35__rep_02,success,0,373.1,0.0,-1.89,1.57,0.13,2703.0
21,matched,mplight,sumohz4x4,sumo,0.2,0.2,45,travel_time,373.3,3,,omnet_off__pr_0.20,inference_matched__pr_0.20__ckpt_45__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.20__ckpt_45__rep_03,success,0,373.3,0.0,-1.84,1.52,0.12,2704.0
22,matched,mplight,sumohz4x4,sumo,0.225,0.225,20,travel_time,371.4,1,,omnet_off__pr_0.23,inference_matched__pr_0.23__ckpt_20__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.23__ckpt_20__rep_01,success,0,371.4,0.0,-1.84,1.52,0.12,2708.0
23,matched,mplight,sumohz4x4,sumo,0.225,0.225,40,travel_time,371.6,2,,omnet_off__pr_0.23,inference_matched__pr_0.23__ckpt_40__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.23__ckpt_40__rep_02,success,0,371.6,0.0,-1.86,1.55,0.12,2705.0
24,matched,mplight,sumohz4x4,sumo,0.225,0.225,30,travel_time,372.4,3,,omnet_off__pr_0.23,inference_matched__pr_0.23__ckpt_30__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.23__ckpt_30__rep_03,success,0,372.4,0.0,-1.87,1.57,0.12,2711.0
25,matched,mplight,sumohz4x4,sumo,0.25,0.25,10,travel_time,371.1,1,,omnet_off__pr_0.25,inference_matched__pr_0.25__ckpt_10__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.25__ckpt_10__rep_01,success,0,371.1,0.0,-1.89,1.59,0.13,2705.0
26,matched,mplight,sumohz4x4,sumo,0.25,0.25,25,travel_time,372.3,2,,omnet_off__pr_0.25,inference_matched__pr_0.25__ckpt_25__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.25__ckpt_25__rep_02,success,0,372.3,0.0,-1.87,1.58,0.13,2711.0
27,matched,mplight,sumohz4x4,sumo,0.25,0.25,5,travel_time,377.2,3,,omnet_off__pr_0.25,inference_matched__pr_0.25__ckpt_05__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.25__ckpt_05__rep_03,success,0,377.2,0.0,-2.07,1.69,0.14,2699.0
28,matched,mplight,sumohz4x4,sumo,0.3,0.3,20,travel_time,372.0,1,,omnet_off__pr_0.30,inference_matched__pr_0.30__ckpt_20__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.30__ckpt_20__rep_01,success,0,372.0,0.0,-1.95,1.65,0.13,2709.0
29,matched,mplight,sumohz4x4,sumo,0.3,0.3,15,travel_time,372.2,2,,omnet_off__pr_0.30,inference_matched__pr_0.30__ckpt_15__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.30__ckpt_15__rep_02,success,0,372.2,0.0,-1.98,1.66,0.13,2703.0
30,matched,mplight,sumohz4x4,sumo,0.3,0.3,25,travel_time,372.4,3,,omnet_off__pr_0.30,inference_matched__pr_0.30__ckpt_25__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.30__ckpt_25__rep_03,success,0,372.4,0.0,-1.95,1.63,0.13,2703.0
31,matched,mplight,sumohz4x4,sumo,0.35,0.35,35,travel_time,368.3,1,,omnet_off__pr_0.35,inference_matched__pr_0.35__ckpt_35__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.35__ckpt_35__rep_01,success,0,368.3,0.0,-1.95,1.65,0.13,2710.0
32,matched,mplight,sumohz4x4,sumo,0.35,0.35,45,travel_time,368.7,2,,omnet_off__pr_0.35,inference_matched__pr_0.35__ckpt_45__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.35__ckpt_45__rep_02,success,0,368.7,0.0,-1.88,1.59,0.12,2710.0
33,matched,mplight,sumohz4x4,sumo,0.35,0.35,15,travel_time,368.8,3,,omnet_off__pr_0.35,inference_matched__pr_0.35__ckpt_15__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.35__ckpt_15__rep_03,success,0,368.8,0.0,-1.95,1.65,0.13,2709.0
34,matched,mplight,sumohz4x4,sumo,0.4,0.4,40,travel_time,367.8,1,,omnet_off__pr_0.40,inference_matched__pr_0.40__ckpt_40__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.40__ckpt_40__rep_01,success,0,367.8,0.0,-1.95,1.67,0.13,2714.0
35,matched,mplight,sumohz4x4,sumo,0.4,0.4,15,travel_time,368.0,2,,omnet_off__pr_0.40,inference_matched__pr_0.40__ckpt_15__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.40__ckpt_15__rep_02,success,0,368.0,0.0,-1.99,1.67,0.13,2711.0
36,matched,mplight,sumohz4x4,sumo,0.4,0.4,45,travel_time,368.4,3,,omnet_off__pr_0.40,inference_matched__pr_0.40__ckpt_45__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.40__ckpt_45__rep_03,success,0,368.4,0.0,-2.0,1.68,0.13,2703.0
37,matched,mplight,sumohz4x4,sumo,0.45,0.45,5,travel_time,368.0,1,,omnet_off__pr_0.45,inference_matched__pr_0.45__ckpt_05__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.45__ckpt_05__rep_01,success,0,368.0,0.0,-2.05,1.71,0.13,2707.0
38,matched,mplight,sumohz4x4,sumo,0.45,0.45,20,travel_time,368.3,2,,omnet_off__pr_0.45,inference_matched__pr_0.45__ckpt_20__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.45__ckpt_20__rep_02,success,0,368.3,0.0,-2.04,1.71,0.13,2704.0
39,matched,mplight,sumohz4x4,sumo,0.45,0.45,40,travel_time,368.5,3,,omnet_off__pr_0.45,inference_matched__pr_0.45__ckpt_40__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference_matched__pr_0.45__ckpt_40__rep_03,success,0,368.5,0.0,-2.03,1.7,0.13,2710.0
