agent,network,world,train_pr,infer_pr,n_success,n_total,travel_time_mean,travel_time_std,travel_time_ci95_low,travel_time_ci95_high,loss_mean,loss_std,loss_ci95_low,loss_ci95_high,reward_mean,reward_std,reward_ci95_low,reward_ci95_high,queue_mean,queue_std,queue_ci95_low,queue_ci95_high,delay_mean,delay_std,delay_ci95_low,delay_ci95_high,throughput_mean,throughput_std,throughput_ci95_low,throughput_ci95_high
mplight,sumohz4x4,sumo,0.05,0.05,3,3,376.166666666667,0.763762615825973,375.302387905052,377.030945428281,0,0,0,0,-1.87,0.0173205080756887,-1.8896,-1.8504,1.55666666666667,0.0208166599946613,1.53311039833364,1.5802229349997,0.126666666666667,0.00577350269189626,0.120133333333333,0.1332,2702.66666666667,1.52752523165195,2700.93810914344,2704.3952241899
mplight,sumohz4x4,sumo,0.075,0.075,3,3,373.833333333333,1.93476958145751,371.643935445532,376.022731221135,0,0,0,0,-1.84333333333333,0.0321455025366431,-1.87970939383716,-1.80695727282951,1.53,0.04,1.48473573889553,1.57526426110447,0.123333333333333,0.00577350269189626,0.1168,0.129866666666667,2705.66666666667,4.04145188432738,2701.09333333333,2710.24
mplight,sumohz4x4,sumo,0.1,0.1,3,3,375.066666666667,0.208166599946629,374.831103983336,375.302229349997,0,0,0,0,-1.84666666666667,0.0450924975282289,-1.89769363121592,-1.79563970211741,1.52666666666667,0.0416333199893227,1.4795541300006,1.57377920333273,0.126666666666667,0.00577350269189626,0.120133333333333,0.1332,2706.66666666667,2.08166599946613,2704.31103983336,2709.02229349997
mplight,sumohz4x4,sumo,0.125,0.125,3,3,373.633333333333,1.35769412362775,372.096957800536,375.16970886613,0,0,0,0,-1.82666666666667,0.0321455025366432,-1.86304272717049,-1.79029060616284,1.51333333333333,0.0351188458428425,1.47359261813539,1.55307404853128,0.123333333333333,0.00577350269189626,0.1168,0.129866666666667,2708.33333333333,0.577350269189626,2705.68,2709.98666666667
mplight,sumohz4x4,sumo,0.15,0.15,3,3,372.466666666667,1.49777612924405,370.771773421913,374.16155991142,0,0,0,0,-1.82666666666667,0.0321455025366432,-1.86304272717049,-1.79029060616284,1.52,0.01,1.50868393472388,1.53131606527612,0.12,0,0.12,0.12,2708,3,2704.60518041716,2711.39481958284
mplight,sumohz4x4,sumo,0.175,0.175,3,3,372.566666666667,0.896288643983257,371.552420586511,373.580912746822,0,0,0,0,-1.82666666666667,0.0115470053837925,-1.83973333333333,-1.8136,1.51666666666667,0.0152752523165195,1.49938109143438,1.53395224189896,0.12,0,0.12,0.12,2708.33333333333,3.05505046330389,2704.87621828688,2711.79044837979
mplight,sumohz4x4,sumo,0.2,0.2,3,3,372.666666666667,0.929157324317753,371.615226173291,373.718107160043,0,0,0,0,-1.86,0.0264575131106458,-1.88993949454038,-1.83006050545962,1.54666666666667,0.0251661147842359,1.5181885269022,1.57514480643113,0.123333333333333,0.00577350269189626,0.1168,0.129866666666667,2710.33333333333,1.52752523165195,2708.6047758101,2712.06189085656
mplight,sumohz4x4,sumo,0.225,0.225,3,3,371.8,0.529150262212909,371.201210109192,372.398789890808,0,0,0,0,-1.85666666666667,0.0152752523165195,-1.87395224189896,-1.83938109143438,1.54666666666667,0.0251661147842359,1.5181885269022,1.57514480643113,0.12,0,0.12,0.12,2712.66666666667,2.3094010767585,2710.05333333333,2715.28
mplight,sumohz4x4,sumo,0.25,0.25,3,3,372.533333333333,3.23161466349768,368.876417085394,375.190249581273,0,0,0,0,-1.94333333333333,0.110151410945722,-2.06798138898515,-1.81868527768152,1.62,0.0608276253029821,1.55116706214803,1.68883293785197,0.133333333333333,0.00577350269189626,0.1268,0.139866666666667,2713.33333333333,3.05505046330389,2709.87621828688,2716.79044837979
mplight,sumohz4x4,sumo,0.3,0.3,3,3,370.2,0.199999999999989,369.973678694478,371.426321305522,0,0,0,0,-1.96,0.0173205080756888,-1.9796,-1.9404,1.64666666666667,0.0152752523165195,1.62938109143438,1.66395224189896,0.13,0,0.13,0.13,2712,2,2709.73678694478,2714.26321305522
