run_idx,mode,agent,network,world,train_pr,infer_pr,checkpoint_episode,selection_metric,selection_value,repeat_idx,seed,train_prefix,infer_prefix,output_dir,status,exit_code,travel_time,loss,reward,queue,delay,throughput
1,matched,presslight,sumohz4x4,sumo,0.05,0.05,45,travel_time,508.0,1,,omnet_off__pr_0.05,inference_matched__pr_0.05__ckpt_45__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference_matched__pr_0.05__ckpt_45__rep_01,success,0,508.0,0.0,-14.86,2.03,0.16,2330.0
2,matched,presslight,sumohz4x4,sumo,0.05,0.05,10,travel_time,509.6,2,,omnet_off__pr_0.05,inference_matched__pr_0.05__ckpt_10__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference_matched__pr_0.05__ckpt_10__rep_02,success,0,509.6,0.0,-14.77,2.24,0.18,1664.0
3,matched,presslight,sumohz4x4,sumo,0.05,0.05,40,travel_time,517.7,3,,omnet_off__pr_0.05,inference_matched__pr_0.05__ckpt_40__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference_matched__pr_0.05__ckpt_40__rep_03,success,0,517.7,0.0,-14.85,2.08,0.17,2406.0
4,matched,presslight,sumohz4x4,sumo,0.075,0.075,35,travel_time,455.5,1,,omnet_off__pr_0.07,inference_matched__pr_0.07__ckpt_35__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference_matched__pr_0.07__ckpt_35__rep_01,success,0,455.5,0.0,-15.26,2.21,0.18,2622.0
5,matched,presslight,sumohz4x4,sumo,0.075,0.075,30,travel_time,468.4,2,,omnet_off__pr_0.07,inference_matched__pr_0.07__ckpt_30__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference_matched__pr_0.07__ckpt_30__rep_02,success,0,468.4,0.0,-14.45,2.17,0.17,2629.0
6,matched,presslight,sumohz4x4,sumo,0.075,0.075,45,travel_time,487.7,3,,omnet_off__pr_0.07,inference_matched__pr_0.07__ckpt_45__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference_matched__pr_0.07__ckpt_45__rep_03,success,0,487.7,0.0,-15.35,2.19,0.17,2614.0
7,matched,presslight,sumohz4x4,sumo,0.1,0.1,45,travel_time,473.0,1,,omnet_off__pr_0.10,inference_matched__pr_0.10__ckpt_45__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference_matched__pr_0.10__ckpt_45__rep_01,success,0,473.0,0.0,-15.55,2.23,0.17,2607.0
8,matched,presslight,sumohz4x4,sumo,0.1,0.1,35,travel_time,479.3,2,,omnet_off__pr_0.10,inference_matched__pr_0.10__ckpt_35__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference_matched__pr_0.10__ckpt_35__rep_02,success,0,479.3,0.0,-15.35,2.33,0.18,2607.0
9,matched,presslight,sumohz4x4,sumo,0.1,0.1,40,travel_time,482.0,3,,omnet_off__pr_0.10,inference_matched__pr_0.10__ckpt_40__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference_matched__pr_0.10__ckpt_40__rep_03,success,0,482.0,0.0,-15.46,2.2,0.17,2584.0
10,matched,presslight,sumohz4x4,sumo,0.125,0.125,40,travel_time,457.0,1,,omnet_off__pr_0.12,inference_matched__pr_0.12__ckpt_40__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference_matched__pr_0.12__ckpt_40__rep_01,success,0,457.0,0.0,-15.87,2.26,0.18,2578.0
11,matched,presslight,sumohz4x4,sumo,0.125,0.125,45,travel_time,457.4,2,,omnet_off__pr_0.12,inference_matched__pr_0.12__ckpt_45__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference_matched__pr_0.12__ckpt_45__rep_02,success,0,457.4,0.0,-14.55,2.24,0.17,2654.0
12,matched,presslight,sumohz4x4,sumo,0.125,0.125,15,travel_time,475.9,3,,omnet_off__pr_0.12,inference_matched__pr_0.12__ckpt_15__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference_matched__pr_0.12__ckpt_15__rep_03,success,0,475.9,0.0,-15.85,2.37,0.18,2622.0
13,matched,presslight,sumohz4x4,sumo,0.15,0.15,20,travel_time,447.2,1,,omnet_off__pr_0.15,inference_matched__pr_0.15__ckpt_20__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference_matched__pr_0.15__ckpt_20__rep_01,success,0,447.2,0.0,-14.63,2.29,0.18,2661.0
14,matched,presslight,sumohz4x4,sumo,0.15,0.15,25,travel_time,447.5,2,,omnet_off__pr_0.15,inference_matched__pr_0.15__ckpt_25__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference_matched__pr_0.15__ckpt_25__rep_02,success,0,447.5,0.0,-14.49,2.26,0.18,2662.0
15,matched,presslight,sumohz4x4,sumo,0.15,0.15,45,travel_time,462.1,3,,omnet_off__pr_0.15,inference_matched__pr_0.15__ckpt_45__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference_matched__pr_0.15__ckpt_45__rep_03,success,0,462.1,0.0,-15.44,2.25,0.17,2664.0
16,matched,presslight,sumohz4x4,sumo,0.175,0.175,45,travel_time,444.6,1,,omnet_off__pr_0.17,inference_matched__pr_0.17__ckpt_45__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference_matched__pr_0.17__ckpt_45__rep_01,success,0,444.6,0.0,-15.72,2.27,0.18,2661.0
17,matched,presslight,sumohz4x4,sumo,0.175,0.175,25,travel_time,447.9,2,,omnet_off__pr_0.17,inference_matched__pr_0.17__ckpt_25__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference_matched__pr_0.17__ckpt_25__rep_02,success,0,447.9,0.0,-15.76,2.38,0.18,2642.0
18,matched,presslight,sumohz4x4,sumo,0.175,0.175,20,travel_time,459.4,3,,omnet_off__pr_0.17,inference_matched__pr_0.17__ckpt_20__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference_matched__pr_0.17__ckpt_20__rep_03,success,0,459.4,0.0,-17.7,2.45,0.18,2615.0
19,matched,presslight,sumohz4x4,sumo,0.2,0.2,20,travel_time,436.8,1,,omnet_off__pr_0.20,inference_matched__pr_0.20__ckpt_20__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference_matched__pr_0.20__ckpt_20__rep_01,success,0,436.8,0.0,-15.09,2.31,0.18,2653.0
20,matched,presslight,sumohz4x4,sumo,0.2,0.2,35,travel_time,444.9,2,,omnet_off__pr_0.20,inference_matched__pr_0.20__ckpt_35__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference_matched__pr_0.20__ckpt_35__rep_02,success,0,444.9,0.0,-15.53,2.37,0.18,2645.0
21,matched,presslight,sumohz4x4,sumo,0.2,0.2,45,travel_time,447.0,3,,omnet_off__pr_0.20,inference_matched__pr_0.20__ckpt_45__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference_matched__pr_0.20__ckpt_45__rep_03,success,0,447.0,0.0,-17.38,2.77,0.19,2537.0
22,matched,presslight,sumohz4x4,sumo,0.225,0.225,45,travel_time,428.6,1,,omnet_off__pr_0.23,inference_matched__pr_0.23__ckpt_45__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference_matched__pr_0.23__ckpt_45__rep_01,success,0,428.6,0.0,-15.45,2.36,0.18,2638.0
23,matched,presslight,sumohz4x4,sumo,0.225,0.225,25,travel_time,435.4,2,,omnet_off__pr_0.23,inference_matched__pr_0.23__ckpt_25__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference_matched__pr_0.23__ckpt_25__rep_02,success,0,435.4,0.0,-16.17,2.41,0.18,2659.0
24,matched,presslight,sumohz4x4,sumo,0.225,0.225,40,travel_time,445.9,3,,omnet_off__pr_0.23,inference_matched__pr_0.23__ckpt_40__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference_matched__pr_0.23__ckpt_40__rep_03,success,0,445.9,0.0,-16.14,2.51,0.19,2639.0
25,matched,presslight,sumohz4x4,sumo,0.25,0.25,15,travel_time,427.8,1,,omnet_off__pr_0.25,inference_matched__pr_0.25__ckpt_15__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference_matched__pr_0.25__ckpt_15__rep_01,success,0,427.8,0.0,-16.61,2.4,0.18,2643.0
