run_idx,mode,agent,network,world,train_pr,infer_pr,checkpoint_episode,selection_metric,selection_value,repeat_idx,seed,train_prefix,infer_prefix,output_dir,status,exit_code,travel_time,loss,reward,queue,delay,throughput
1,baseline,mplight,sumohz4x4,sumo,1.0,0.05,20,travel_time,364.8,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.05__ckpt_20__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.05__ckpt_20__rep_01,success,0,394.5,0.0,-2.07,1.71,0.14,2702.0
2,baseline,mplight,sumohz4x4,sumo,1.0,0.05,40,travel_time,365.2,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.05__ckpt_40__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.05__ckpt_40__rep_02,success,0,405.6,0.0,-2.01,1.63,0.14,2671.0
3,baseline,mplight,sumohz4x4,sumo,1.0,0.05,35,travel_time,365.4,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.05__ckpt_35__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.05__ckpt_35__rep_03,success,0,398.7,0.0,-1.96,1.6,0.14,2695.0
4,baseline,mplight,sumohz4x4,sumo,1.0,0.075,20,travel_time,364.8,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.07__ckpt_20__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.07__ckpt_20__rep_01,success,0,385.8,0.0,-1.99,1.63,0.14,2700.0
5,baseline,mplight,sumohz4x4,sumo,1.0,0.075,40,travel_time,365.2,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.07__ckpt_40__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.07__ckpt_40__rep_02,success,0,394.5,0.0,-1.98,1.63,0.14,2692.0
6,baseline,mplight,sumohz4x4,sumo,1.0,0.075,35,travel_time,365.4,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.07__ckpt_35__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.07__ckpt_35__rep_03,success,0,396.8,0.0,-2.01,1.63,0.14,2677.0
7,baseline,mplight,sumohz4x4,sumo,1.0,0.1,20,travel_time,364.8,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.10__ckpt_20__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.10__ckpt_20__rep_01,success,0,384.8,0.0,-2.05,1.66,0.14,2696.0
8,baseline,mplight,sumohz4x4,sumo,1.0,0.1,40,travel_time,365.2,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.10__ckpt_40__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.10__ckpt_40__rep_02,success,0,395.3,0.0,-2.03,1.64,0.14,2696.0
9,baseline,mplight,sumohz4x4,sumo,1.0,0.1,35,travel_time,365.4,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.10__ckpt_35__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.10__ckpt_35__rep_03,success,0,398.6,0.0,-2.01,1.63,0.14,2692.0
10,baseline,mplight,sumohz4x4,sumo,1.0,0.125,20,travel_time,364.8,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.12__ckpt_20__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.12__ckpt_20__rep_01,success,0,385.9,0.0,-2.05,1.67,0.14,2701.0
