run_idx,mode,agent,network,world,train_pr,infer_pr,checkpoint_episode,selection_metric,selection_value,repeat_idx,seed,train_prefix,infer_prefix,output_dir,status,exit_code,travel_time,loss,reward,queue,delay,throughput
1,baseline,presslight,sumohz4x4,sumo,1.0,0.05,25,travel_time,419.4,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.05__ckpt_25__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.05__ckpt_25__rep_01,success,0,536.4,0.0,-15.74,2.61,0.21,2458.0
2,baseline,presslight,sumohz4x4,sumo,1.0,0.05,35,travel_time,423.1,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.05__ckpt_35__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.05__ckpt_35__rep_02,success,0,525.8,0.0,-15.22,2.7,0.22,2505.0
3,baseline,presslight,sumohz4x4,sumo,1.0,0.05,20,travel_time,434.9,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.05__ckpt_20__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.05__ckpt_20__rep_03,success,0,609.7,0.0,-16.57,2.77,0.22,2218.0
4,baseline,presslight,sumohz4x4,sumo,1.0,0.075,25,travel_time,419.4,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.07__ckpt_25__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.07__ckpt_25__rep_01,success,0,530.9,0.0,-16.06,2.7,0.21,2455.0
5,baseline,presslight,sumohz4x4,sumo,1.0,0.075,35,travel_time,423.1,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.07__ckpt_35__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.07__ckpt_35__rep_02,success,0,542.3,0.0,-15.63,2.81,0.22,2461.0
6,baseline,presslight,sumohz4x4,sumo,1.0,0.075,20,travel_time,434.9,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.07__ckpt_20__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.07__ckpt_20__rep_03,success,0,566.2,0.0,-16.29,2.83,0.22,2482.0
7,baseline,presslight,sumohz4x4,sumo,1.0,0.1,25,travel_time,419.4,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.10__ckpt_25__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.10__ckpt_25__rep_01,success,0,572.3,0.0,-18.3,2.82,0.21,2390.0
8,baseline,presslight,sumohz4x4,sumo,1.0,0.1,35,travel_time,423.1,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.10__ckpt_35__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.10__ckpt_35__rep_02,success,0,552.1,0.0,-16.46,2.93,0.23,2528.0
9,baseline,presslight,sumohz4x4,sumo,1.0,0.1,20,travel_time,434.9,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.10__ckpt_20__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.10__ckpt_20__rep_03,success,0,509.6,0.0,-17.95,2.85,0.21,2406.0
10,baseline,presslight,sumohz4x4,sumo,1.0,0.125,25,travel_time,419.4,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.12__ckpt_25__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.12__ckpt_25__rep_01,success,0,509.7,0.0,-17.07,2.74,0.21,2575.0
11,baseline,presslight,sumohz4x4,sumo,1.0,0.125,35,travel_time,423.1,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.12__ckpt_35__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.12__ckpt_35__rep_02,success,0,504.3,0.0,-15.84,2.84,0.22,2588.0
12,baseline,presslight,sumohz4x4,sumo,1.0,0.125,20,travel_time,434.9,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.12__ckpt_20__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.12__ckpt_20__rep_03,success,0,554.0,0.0,-17.65,3.08,0.23,2557.0
13,baseline,presslight,sumohz4x4,sumo,1.0,0.15,25,travel_time,419.4,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.15__ckpt_25__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.15__ckpt_25__rep_01,success,0,508.6,0.0,-18.53,2.85,0.21,2547.0
14,baseline,presslight,sumohz4x4,sumo,1.0,0.15,35,travel_time,423.1,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.15__ckpt_35__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.15__ckpt_35__rep_02,success,0,492.9,0.0,-16.64,2.91,0.22,2538.0
