agent,train_pr,snr_penalty_db,slot_group,n_slots,result_sets,mlr_mean,mlr_std,mlr_ci95_low,mlr_ci95_high,delay_mean_ms_mean,delay_mean_ms_std,delay_mean_ms_ci95_low,delay_mean_ms_ci95_high,delay_median_ms_mean,delay_median_ms_std,delay_median_ms_ci95_low,delay_median_ms_ci95_high,delay_p95_ms_mean,delay_p95_ms_std,delay_p95_ms_ci95_low,delay_p95_ms_ci95_high,delay_p99_ms_mean,delay_p99_ms_std,delay_p99_ms_ci95_low,delay_p99_ms_ci95_high,delay_max_ms_mean,delay_max_ms_std,delay_max_ms_ci95_low,delay_max_ms_ci95_high
mplight,0.1,0,1,5,"MPLight-Run1-results-20260610_072117,MPLight-Run2-results-20260610_210721,MPLight-Run3-results-20260611_082235,MPLight-Run4-results-20260612_070927,MPLight-Run5-results-20260612_195738",0.02366640559936255,0.0015789744562628874,0.021706164169007294,0.025626647029717807,253.37664609417743,56.390061791607096,183.37036135299005,323.38293083536485,13.0106308,0.004375053828240212,13.005199324056779,13.01606227594322,645.20640176,127.0346211183536,487.4973733346409,802.915430185359,3024.6145966639997,694.2956778133896,2162.670853895942,3886.5583394320574,170797.8047884,83122.92199420139,67603.61133015362,273991.99824664637
mplight,0.1,5,2,5,"MPLight-Run1-results-20260610_072117,MPLight-Run2-results-20260610_210721,MPLight-Run3-results-20260611_082235,MPLight-Run4-results-20260612_070927,MPLight-Run5-results-20260612_195738",0.04559134287654039,0.0028990575426125066,0.04199226457513259,0.04919042117794819,1158.7522988780381,244.36957608968635,855.3760374892972,1462.128560266779,14.0055924,0.003954248955238046,14.000683338553658,14.01050146144634,3231.61122844,419.19443651367374,2711.1960320007997,3752.0264248792005,23740.94879213599,7307.315801156509,14669.172411396521,32812.72517287546,230682.808326,51477.60567547503,166775.16562772158,294590.4510242784
mplight,0.1,10,3,5,"MPLight-Run1-results-20260610_072117,MPLight-Run2-results-20260610_210721,MPLight-Run3-results-20260611_082235,MPLight-Run4-results-20260612_070927,MPLight-Run5-results-20260612_195738",0.0878741196084146,0.005305690481492713,0.08128729088727159,0.0944609483295576,3348.247630732955,487.90540340727455,2742.530177825725,3953.9650836401847,21.0041988,4.062004396647547,15.961362750935992,26.047034849064012,13862.442421039981,1699.5293180720728,11752.536356268514,15972.348485811448,71095.09913624798,15784.886831253963,51498.71553589068,90691.48273660528,274266.2111132,30264.218296550687,236694.24512799658,311838.1770984034
mplight,0.1,15,4,5,"MPLight-Run1-results-20260610_072117,MPLight-Run2-results-20260610_210721,MPLight-Run3-results-20260611_082235,MPLight-Run4-results-20260612_070927,MPLight-Run5-results-20260612_195738",0.17824653657181946,0.010540668348380943,0.16516066636145899,0.19133240678217994,7521.72985375228,1052.5201829672883,6215.062946789937,8828.396760714622,343.6047348,217.5472942781228,73.527395920831,613.682073679169,34873.80637764,5057.616719745268,28594.9525345152,41152.6602207648,114935.65322880763,24865.791052583972,84065.64540411055,145805.6610535047,373493.0012508,44622.806013293244,318095.3520114384,428890.65049016156
mplight,0.1,20,5,5,"MPLight-Run1-results-20260610_072117,MPLight-Run2-results-20260610_210721,MPLight-Run3-results-20260611_082235,MPLight-Run4-results-20260612_070927,MPLight-Run5-results-20260612_195738",0.2949054133953528,0.016473420605566082,0.27445423925341833,0.3153565875372873,11556.578102752092,1891.4965207988778,9208.351485952746,13904.804719551437,1398.20444,296.16907153137834,1030.520921053321,1765.887958946679,50614.02550932002,7353.887899867143,41484.43150079748,59743.619517842555,133476.58464224002,45374.74101534596,77145.43445983811,189807.73482464193,408480.0011972,90038.08337829926,296700.87731849303,520259.1250759069
mplight,0.1,25,6,5,"MPLight-Run1-results-20260610_072117,MPLight-Run2-results-20260610_210721,MPLight-Run3-results-20260611_082235,MPLight-Run4-results-20260612_070927,MPLight-Run5-results-20260612_195738",0.3833874994920799,0.009149921588505005,0.3720281926260648,0.394746806358095,17611.777877148776,2622.3069197788273,14356.27577141876,20867.27998287879,4413.004642,392.9063951725344,3925.225127256219,4900.784156743781,70465.50478429598,13213.36953084117,54061.56975785355,86869.4398107384,157432.47666723517,54690.30284771955,89536.38306321873,225328.5702712516,442418.4012508,114624.6492734269,300115.9177910533,584720.8847105467
mplight,0.5,0,1,5,"MPLight-Run1-results-20260610_072117,MPLight-Run2-results-20260610_210721,MPLight-Run3-results-20260611_082235,MPLight-Run4-results-20260612_070927,MPLight-Run5-results-20260612_195738",0.02909049974803246,0.0007193102504239248,0.028197501290351628,0.029983498205713294,434.29983012618965,138.92625166524613,261.82775928425593,606.7719009681234,14.0023228,0.00018950461735810575,14.002087536661373,14.002558063338627,984.20451772,37.85320452484942,937.2110913938131,1031.1979440461869,4893.091068007985,922.669346655186,3747.629421900656,6038.552714115314,193712.6015724,75021.05167750902,100576.5960697298,286848.60707507015
mplight,0.5,5,2,5,"MPLight-Run1-results-20260610_072117,MPLight-Run2-results-20260610_210721,MPLight-Run3-results-20260611_082235,MPLight-Run4-results-20260612_070927,MPLight-Run5-results-20260612_195738",0.051763710453959264,0.0014423115390451702,0.04997313124407933,0.0535542896638392,1464.955568591475,181.72370390318002,1239.3519612274072,1690.5591759555427,15.011274,0.005888686373037641,15.003963402318695,15.018584597681306,4250.40909784,303.000369561082,3874.2447618871847,4626.573433792815,30180.25404639214,5814.32726011172,22961.970596835585,37398.537495948694,266506.2017332,20940.45892021006,240509.35613304935,292503.04733335064
mplight,0.5,10,3,5,"MPLight-Run1-results-20260610_072117,MPLight-Run2-results-20260610_210721,MPLight-Run3-results-20260611_082235,MPLight-Run4-results-20260612_070927,MPLight-Run5-results-20260612_195738",0.10584631418400978,0.002989299879398869,0.10213520318527805,0.1095574251827415,4895.662538735084,673.1401625540275,4059.9826264725975,5731.34245099757,46.4062892,3.431693166328947,42.14596244536311,50.666615954636896,17945.645136799943,1777.5806073092288,15738.841132832276,20152.44914076761,110223.14861865595,19788.36021996293,85656.5931635581,134789.7040737538,345899.201358,88335.32678337801,236233.990095128,455564.41262087197
mplight,0.5,15,4,5,"MPLight-Run1-results-20260610_072117,MPLight-Run2-results-20260610_210721,MPLight-Run3-results-20260611_082235,MPLight-Run4-results-20260612_070927,MPLight-Run5-results-20260612_195738",0.19081149784096818,0.003727957147624283,0.18618336974024008,0.19543962594169628,8882.923222738367,1228.3524066183656,7357.9667745961715,10407.879670880564,628.4065036,28.06182778703103,593.5687282189939,663.244278981006,40418.41697795996,7738.865303699826,30810.887019460417,50025.946936459506,150688.0969561681,25394.90501706383,119161.21269471866,182214.98121761752,459896.60141159996,80706.95515604036,359701.74608180975,560091.4567413902
