result_set,agent,run_idx,slot,slot_group,snr_penalty_db,train_pr,stats_file,sender_count,received_unique_packets,expected_packets_observed_span,mlr,delay_count,delay_mean_ms,delay_median_ms,delay_p95_ms,delay_p99_ms,delay_max_ms,sim_time_min,sim_time_max
MPLight-Run1-results-20260610_072117,mplight,1,1,1,0,0.1,/home/exx/Desktop/vtc2026/omnet_files/OMNeT_results/MPLight-Run1-results-20260610_072117/Slot1/stats.csv,839,2225454,2282034,0.0247936709093729,2225454,250.39476138407858,13.0154548,750.0015188,3387.01477676,90235.0012508,1.0170009828,899.9900103628
MPLight-Run1-results-20260610_072117,mplight,1,10,4,15,0.5,/home/exx/Desktop/vtc2026/omnet_files/OMNeT_results/MPLight-Run1-results-20260610_072117/Slot10/stats.csv,826,1623050,1991201,0.18488891879825287,1623050,7149.098014288341,594.0011168,30853.555243999814,115638.51111412002,368472.0012508,1.0230009828,899.9940023228
MPLight-Run1-results-20260610_072117,mplight,1,11,5,20,0.5,/home/exx/Desktop/vtc2026/omnet_files/OMNeT_results/MPLight-Run1-results-20260610_072117/Slot11/stats.csv,815,1268872,1793536,0.29253050956323157,1268872,10691.895290389384,1559.0019207999999,44962.45225579996,114916.87244340012,540270.0012508,5.0290009828,899.9880025908
MPLight-Run1-results-20260610_072117,mplight,1,12,6,25,0.5,/home/exx/Desktop/vtc2026/omnet_files/OMNeT_results/MPLight-Run1-results-20260610_072117/Slot12/stats.csv,781,930068,1495687,0.37816668861867486,930068,23426.074355379977,4851.0028588,116504.31269439982,213214.33630440795,473448.0009828,25.0110009828,899.9830009828
MPLight-Run1-results-20260610_072117,mplight,1,13,1,0,1.0,/home/exx/Desktop/vtc2026/omnet_files/OMNeT_results/MPLight-Run1-results-20260610_072117/Slot13/stats.csv,839,2141200,2210525,0.0313613281912668,2141200,475.4746374098991,14.0025908,1036.0017868,5424.005557559999,219299.0012508,1.0170009828,899.9970103628
MPLight-Run1-results-20260610_072117,mplight,1,14,2,5,1.0,/home/exx/Desktop/vtc2026/omnet_files/OMNeT_results/MPLight-Run1-results-20260610_072117/Slot14/stats.csv,838,2067757,2171185,0.047636659243684876,2067757,1741.1613171149065,15.0068788,4329.0047348,45310.45071655995,260728.0012508,1.0230009828,899.9890138468
MPLight-Run1-results-20260610_072117,mplight,1,15,3,10,1.0,/home/exx/Desktop/vtc2026/omnet_files/OMNeT_results/MPLight-Run1-results-20260610_072117/Slot15/stats.csv,835,1894924,2133284,0.11173383384490765,1894924,6116.554590653644,42.0181348,22176.0066376,147506.08248896006,327032.0020548,1.0230009828,899.9940074148
MPLight-Run1-results-20260610_072117,mplight,1,16,4,15,1.0,/home/exx/Desktop/vtc2026/omnet_files/OMNeT_results/MPLight-Run1-results-20260610_072117/Slot16/stats.csv,828,1634463,2008794,0.18634613603983285,1634463,8910.251006273778,559.0063428,37059.017330799994,172524.7712525598,385421.0012508,1.0230009828,899.9980009828
MPLight-Run1-results-20260610_072117,mplight,1,17,5,20,1.0,/home/exx/Desktop/vtc2026/omnet_files/OMNeT_results/MPLight-Run1-results-20260610_072117/Slot17/stats.csv,810,1277265,1826650,0.30076095584813733,1277265,14653.72572954187,1751.0015188,63392.0021084,200488.12264440174,556350.0012508,5.0290009828,899.9950028588
MPLight-Run1-results-20260610_072117,mplight,1,18,6,25,1.0,/home/exx/Desktop/vtc2026/omnet_files/OMNeT_results/MPLight-Run1-results-20260610_072117/Slot18/stats.csv,779,912040,1403751,0.35028363292350284,912040,26097.537881940705,4297.5133108,122246.07135079993,369032.8955169759,660012.0015188,25.0110009828,899.9910015188
