run_idx,agent,network,world,penetration_rate,use_omnet,prefix,output_dir,status,exit_code,travel_time,loss,reward,queue,delay,throughput,console_log
1,mplight,sumohz4x4,sumo,0.05,False,omnet_off__pr_0.05,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/omnet_off__pr_0.05,success,0,374.9,100.0,-1.81,1.52,0.12,2703.0,/home/exx/Desktop/vtc2026/LibSignal-master/experiments/run_logs/sweep_mplight_sumohz4x4_20260526_202834/001_omnet_off__pr_0.05.log
2,mplight,sumohz4x4,sumo,0.075,False,omnet_off__pr_0.07,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/omnet_off__pr_0.07,success,0,379.4,100.0,-1.87,1.54,0.13,2709.0,/home/exx/Desktop/vtc2026/LibSignal-master/experiments/run_logs/sweep_mplight_sumohz4x4_20260526_202834/002_omnet_off__pr_0.07.log
3,mplight,sumohz4x4,sumo,0.1,False,omnet_off__pr_0.10,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/omnet_off__pr_0.10,success,0,377.7,100.0,-1.94,1.63,0.13,2707.0,/home/exx/Desktop/vtc2026/LibSignal-master/experiments/run_logs/sweep_mplight_sumohz4x4_20260526_202834/003_omnet_off__pr_0.10.log
4,mplight,sumohz4x4,sumo,0.125,False,omnet_off__pr_0.12,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/omnet_off__pr_0.12,success,0,374.7,100.0,-1.87,1.54,0.13,2699.0,/home/exx/Desktop/vtc2026/LibSignal-master/experiments/run_logs/sweep_mplight_sumohz4x4_20260526_202834/004_omnet_off__pr_0.12.log
5,mplight,sumohz4x4,sumo,0.15,False,omnet_off__pr_0.15,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/omnet_off__pr_0.15,success,0,374.0,100.0,-1.86,1.53,0.12,2707.0,/home/exx/Desktop/vtc2026/LibSignal-master/experiments/run_logs/sweep_mplight_sumohz4x4_20260526_202834/005_omnet_off__pr_0.15.log
6,mplight,sumohz4x4,sumo,0.175,False,omnet_off__pr_0.17,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/omnet_off__pr_0.17,success,0,374.4,100.0,-1.8,1.49,0.12,2706.0,/home/exx/Desktop/vtc2026/LibSignal-master/experiments/run_logs/sweep_mplight_sumohz4x4_20260526_202834/006_omnet_off__pr_0.17.log
7,mplight,sumohz4x4,sumo,0.2,False,omnet_off__pr_0.20,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/omnet_off__pr_0.20,success,0,374.1,100.0,-1.88,1.56,0.13,2702.0,/home/exx/Desktop/vtc2026/LibSignal-master/experiments/run_logs/sweep_mplight_sumohz4x4_20260526_202834/007_omnet_off__pr_0.20.log
8,mplight,sumohz4x4,sumo,0.225,False,omnet_off__pr_0.23,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/omnet_off__pr_0.23,success,0,374.4,100.0,-1.89,1.57,0.12,2707.0,/home/exx/Desktop/vtc2026/LibSignal-master/experiments/run_logs/sweep_mplight_sumohz4x4_20260526_202834/008_omnet_off__pr_0.23.log
9,mplight,sumohz4x4,sumo,0.25,False,omnet_off__pr_0.25,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/omnet_off__pr_0.25,success,0,387.2,100.0,-2.07,1.66,0.14,2701.0,/home/exx/Desktop/vtc2026/LibSignal-master/experiments/run_logs/sweep_mplight_sumohz4x4_20260526_202834/009_omnet_off__pr_0.25.log
10,mplight,sumohz4x4,sumo,0.3,False,omnet_off__pr_0.30,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/omnet_off__pr_0.30,success,0,371.5,100.0,-1.92,1.62,0.13,2705.0,/home/exx/Desktop/vtc2026/LibSignal-master/experiments/run_logs/sweep_mplight_sumohz4x4_20260526_202834/010_omnet_off__pr_0.30.log
