run_idx,agent,network,world,penetration_rate,use_omnet,prefix,output_dir,status,exit_code,travel_time,loss,reward,queue,delay,throughput,console_log
1,presslight,sumohz4x4,sumo,0.05,False,omnet_off__pr_0.05,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/omnet_off__pr_0.05,success,0,566.5,100.0,-14.68,2.0,0.16,2280.0,/home/exx/Desktop/vtc2026/LibSignal-master/experiments/run_logs/sweep_presslight_sumohz4x4_20260526_152906/001_omnet_off__pr_0.05.log
2,presslight,sumohz4x4,sumo,0.075,False,omnet_off__pr_0.07,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/omnet_off__pr_0.07,success,0,441.4,100.0,-14.27,2.1,0.17,2667.0,/home/exx/Desktop/vtc2026/LibSignal-master/experiments/run_logs/sweep_presslight_sumohz4x4_20260526_152906/002_omnet_off__pr_0.07.log
3,presslight,sumohz4x4,sumo,0.1,False,omnet_off__pr_0.10,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/omnet_off__pr_0.10,success,0,581.4,100.0,-16.77,2.37,0.18,2488.0,/home/exx/Desktop/vtc2026/LibSignal-master/experiments/run_logs/sweep_presslight_sumohz4x4_20260526_152906/003_omnet_off__pr_0.10.log
4,presslight,sumohz4x4,sumo,0.125,False,omnet_off__pr_0.12,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/omnet_off__pr_0.12,success,0,446.6,100.0,-14.78,2.11,0.16,2625.0,/home/exx/Desktop/vtc2026/LibSignal-master/experiments/run_logs/sweep_presslight_sumohz4x4_20260526_152906/004_omnet_off__pr_0.12.log
5,presslight,sumohz4x4,sumo,0.15,False,omnet_off__pr_0.15,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/omnet_off__pr_0.15,success,0,433.4,100.0,-14.38,2.08,0.16,2637.0,/home/exx/Desktop/vtc2026/LibSignal-master/experiments/run_logs/sweep_presslight_sumohz4x4_20260526_152906/005_omnet_off__pr_0.15.log
6,presslight,sumohz4x4,sumo,0.175,False,omnet_off__pr_0.17,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/omnet_off__pr_0.17,success,0,460.2,100.0,-16.55,2.34,0.17,2627.0,/home/exx/Desktop/vtc2026/LibSignal-master/experiments/run_logs/sweep_presslight_sumohz4x4_20260526_152906/006_omnet_off__pr_0.17.log
7,presslight,sumohz4x4,sumo,0.2,False,omnet_off__pr_0.20,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/omnet_off__pr_0.20,success,0,439.8,100.0,-23.09,3.69,0.19,2148.0,/home/exx/Desktop/vtc2026/LibSignal-master/experiments/run_logs/sweep_presslight_sumohz4x4_20260526_152906/007_omnet_off__pr_0.20.log
8,presslight,sumohz4x4,sumo,0.225,False,omnet_off__pr_0.23,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/omnet_off__pr_0.23,success,0,437.4,100.0,-15.07,2.41,0.18,2655.0,/home/exx/Desktop/vtc2026/LibSignal-master/experiments/run_logs/sweep_presslight_sumohz4x4_20260526_152906/008_omnet_off__pr_0.23.log
9,presslight,sumohz4x4,sumo,0.25,False,omnet_off__pr_0.25,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/omnet_off__pr_0.25,success,0,450.8,100.0,-16.71,2.63,0.18,2617.0,/home/exx/Desktop/vtc2026/LibSignal-master/experiments/run_logs/sweep_presslight_sumohz4x4_20260526_152906/009_omnet_off__pr_0.25.log
10,presslight,sumohz4x4,sumo,0.3,False,omnet_off__pr_0.30,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/omnet_off__pr_0.30,success,0,462.3,100.0,-20.62,3.18,0.21,2602.0,/home/exx/Desktop/vtc2026/LibSignal-master/experiments/run_logs/sweep_presslight_sumohz4x4_20260526_152906/010_omnet_off__pr_0.30.log
